company,mase_chronos_day,mase_chronos_week,mase_ets_day,mase_ets_week,mape_chronos_day,mape_chronos_week,mape_ets_day,mape_ets_week
RIVN,0.9046040441158116,1.1267362701970978,0.9816108547768547,0.9792695555008994,0.028443394987900612,0.07602373978671818,0.030758076817139653,0.06558489349277008
TSLA,1.0170946550337219,1.1683307035962116,1.0172354230966987,1.1970249532111028,0.027123742809365078,0.06062698729376727,0.02714717134399084,0.06211092796493026
NIO,0.9877611474684208,1.0853911819481863,1.0713344816667552,1.2505327767116972,0.04944645536480097,0.12414532929130369,0.05404598601262943,0.14451003105263005
XPEV,0.9587016552492326,0.8905579142033544,0.9522068904638125,1.0916713822069064,0.03996615978000374,0.08221454518324914,0.03956097535416376,0.10347920647243497
EVGO,1.044232762742213,1.0613434523505996,1.012553671860295,1.136665428892804,0.034121700596739885,0.07370646476787594,0.033267973592834225,0.08012359651185541
LI,0.9841750669579247,1.0548779494421627,1.0238029175324017,1.2424540034966391,0.03209022692073832,0.0888314398975917,0.03322162222073756,0.10418138651079993
INDI,1.0527554788282787,1.1334919745131518,0.9860602326045063,0.9666788802739551,0.047126467467670595,0.11983727557970285,0.04371222971784117,0.0998774016331236
CHPT,1.1635357360453484,1.3303738474142068,1.014226221066487,1.1892468979321043,0.051042062837870404,0.18225945032688287,0.044696137131746486,0.161698940582069
LCID,0.9879550673258886,0.7426183235274927,0.9942183195967966,1.0184236607994506,0.02943979547997883,0.06007941618547223,0.029632607214844783,0.08369931847066994
LAZR,1.1619339495644652,1.3945439448667583,1.058268139995562,1.0608811968696115,0.06818361998203255,0.17046939556980192,0.06172836525785024,0.12717965737129117
